rule,says,support,confidence,lift
desc_missing & fav_number_low & location_missing,non_human,0.06978359604595244,0.6352140077821011,2.196605719815599
desc_len_low & tweets_per_day_high,non_human,0.06609671386588298,0.6343589743589744,2.193648966209942
favs_per_day_low & has_description & text_n_urls_high,non_human,0.061287737109270636,0.6340519624101714,2.192587301645668
fav_number_low & timezone_missing,non_human,0.1004541811381245,0.6336366700370745,2.1911511972919158
fav_number_low & favs_per_day_low,non_human,0.14250601122094578,0.6321403176108084,2.185976726549571
favs_per_day_low & link_default,non_human,0.11253005610472883,0.6318631863186318,2.185018390974352
desc_missing & favs_per_day_low,non_human,0.06946299759551162,0.6307617661329452,2.181209618103856
desc_len_low & desc_missing & favs_per_day_low,non_human,0.06946299759551162,0.6307617661329452,2.181209618103856
desc_len_low & sidebar_default & text_len_low,non_human,0.05487576810045418,0.6300613496932516,2.178787538711974
timezone_missing & tweets_per_day_high,non_human,0.08495858936681806,0.6297029702970297,2.177548242629141
desc_missing & fav_number_low & sidebar_default,non_human,0.06951643067058509,0.629414610546686,2.176551078414861
location_missing & tweets_per_day_high,non_human,0.08602725086828747,0.6276803118908382,2.170553776244833
desc_len_low & fav_number_low & location_missing,non_human,0.07069195832220145,0.6273115220483642,2.16927848025409
desc_missing & fav_number_low & link_default,non_human,0.06951643067058509,0.6257816257816258,2.163988013027185
fav_number_low & sidebar_default,non_human,0.11151482767833289,0.6244763614602035,2.15947433568509
fav_number_low & link_default & sidebar_default,non_human,0.10943093775046754,0.624390243902439,2.159176536332991
fav_number_low & link_default,non_human,0.11653753673523912,0.6229648671808055,2.154247503564075
desc_len_low & link_default & text_len_low,non_human,0.05498263425060112,0.6225045372050817,2.1526556566506105
sidebar_default & text_n_urls_low & tweets_per_day_high,non_human,0.06999732834624632,0.6220322886989553,2.151022594789532
desc_len_low & location_missing & text_len_low,non_human,0.05503606732567459,0.6216053108026555,2.149546081240151
fav_number_low & favs_per_day_low & has_description,non_human,0.07336361207587497,0.6215482118605704,2.1493486298910893
desc_len_low & fav_number_low & sidebar_default,non_human,0.07101255677264226,0.6213183730715287,2.1485538344482
desc_len_low & favs_per_day_low,non_human,0.07192091904889127,0.6202764976958526,2.1449509708754397
sidebar_default & text_n_urls_low & tweet_count_high,non_human,0.05263157894736842,0.618330194601381,2.1382205454480494
desc_len_low & fav_number_low & link_default,non_human,0.07101255677264226,0.6175650557620818,2.135574652362779
fav_number_low & text_n_urls_high & uploaded_image,non_human,0.06919583222014426,0.6175488793514544,2.1355187134261766
link_default & sidebar_default & tweet_count_high,non_human,0.06994389527117285,0.6171617161716172,2.1341798814027744
fav_number_low & favs_per_day_low & text_n_urls_high,non_human,0.06705850921720545,0.6154977930358019,2.128425941734115
link_default & text_n_urls_low & tweets_per_day_high,non_human,0.07079882447234838,0.6137100509495136,2.1222438291796277
desc_missing & fav_number_low,non_human,0.07282928132514026,0.6125842696629213,2.1183508142538012
desc_len_low & desc_missing & fav_number_low,non_human,0.07282928132514026,0.6125842696629213,2.1183508142538012
fav_number_low & text_n_urls_high,non_human,0.07218808442425861,0.6115889542779538,2.1149089577442544
location_missing & text_len_low & timezone_missing,non_human,0.06187550093507881,0.6110817941952507,2.113155169690339
favs_per_day_low & text_n_urls_low,non_human,0.0765695965802832,0.6097872340425532,2.1086785079649633
sidebar_default & tweet_count_high,non_human,0.07165375367352392,0.6095454545454546,2.1078424208828865
fav_number_low,non_human,0.15265829548490514,0.6078723404255318,2.1020566982749127
link_default & sidebar_default & tweets_per_day_high,non_human,0.09099652685012022,0.6073466476462196,2.1002388231151143
fav_number_low & text_n_urls_low,non_human,0.08047021106064654,0.6045764753111201,2.090659411575686
location_missing & tweet_count_high,non_human,0.06737910766764628,0.6045062320230106,2.0904165063397344
fav_number_low & has_description,non_human,0.0798290141597649,0.6036363636363637,2.087408452596923
desc_len_low & fav_number_low,non_human,0.07534063585359338,0.6033376123234917,2.086375353775711
sidebar_default & tweets_per_day_high,non_human,0.09265295217739782,0.6022924626606462,2.082761167533997
has_description & text_has_emoji & text_n_urls_low,human,0.0664173123163238,0.9248511904761906,1.4111030515051286
text_has_emoji & text_n_urls_low & uploaded_image,human,0.07598183275447502,0.9245773732119636,1.410685271454582
text_has_emoji & text_n_urls_low,human,0.07603526582954849,0.924025974025974,1.4098439673810619
custom_sidebar_colour & text_has_emoji,human,0.0537536735239113,0.9220898258478459,1.4068898655423479
custom_sidebar_colour & text_has_emoji & uploaded_image,human,0.0537536735239113,0.9220898258478459,1.4068898655423479
custom_link_colour & text_has_emoji,human,0.051188885920384716,0.9220404234841193,1.4068144892797403
